	simpson
X101.Horse	0.9964165965534781
X102.Kulan	0.9843719997346231
X109.Red.Fox	0.6086195699898185
X110.Noctule	0.8040029615807733
X111.West.European.Hedgehog	0.9237428645559241
X122.Wild.Boar	0.9737377312505768
X123.Alpine.Chamois	0.9884398692190807
X127.Alpine.Marmot	0.9832028499840635
X128.Alpine.Marmot	0.9862148187100601
X129.Alpine.Ibex	0.989908207327579
X130.Alpine.Ibex	0.9900370967423379
X136.Domestic.Pig	0.9654883713762153
X137.Gaur	0.9256837817266833
X138.Gaur	0.9170020443279882
X139.Sambar	0.8869739248927265
X140.Sambar	0.9728789171289592
X202.Human	0.9175682293033742
X223.Human	0.8920770527448989
X231.Brown.Bear	0.630495848269099
X247.Common.Hamster	0.9750321347601512
X252.Eurasian.Lynx	0.9208775369523308
X279.Western.Grey.Kangaroo	0.9882837817999901
X283.Koala	0.9188436575943362
X301.European.Hare	0.8873131329021335
X338.White.beaked.Dolphin	0.8061086107653526
X340.Western.Lowland.Gorilla	0.9616822898043773
X347.Brown.Bear	0.8717787525890756
X389.Indian.Rhinoceros	0.9897746176639751
X390.European.Ground.Squirrel	0.9878843755443454
X394.Przewalski.horse	0.9445739667313939
X395.Przewalski.horse	0.9941365082006925
X407.African.Bush.Elephant	0.9667351385916074
X408.African.Bush.Elephant	0.9768983356373473
X412.Lion	0.8855515157199196
X413.Lion	0.8492174941287467
X414.Vervet.Monkey	0.9810750407617188
X415.White.Rhinoceros	0.9919862910293915
X416.White.Rhinoceros	0.9752439014738573
X417.Giraffe	0.982009765051931
X418.Giraffe	0.9742533147981975
X423.Quagga	0.9659345718962966
X424.Quagga	0.9911939601190237
X428.African.Bush.Elephant	0.9831150244393723
X429.Giraffe	0.9911204217112353
X430.Giraffe	0.9936732398575965
X431.Quagga	0.9927109637939117
X432.Vervet.Monkey	0.9841673556492079
X433.Raccoon	0.8179667685175881
X77.Onager	0.9952235966471288
X81.Wolf	0.8362468548106098
X85.Domestic.Dog	0.8678086800643284
X88.European.Rabbit	0.9923659102809996
X89.Fat.Dormouse	0.167751587149359
X96.European.Hare	0.9677332103760634
X11.Onager	0.9950038688349472
X13.Wolf	0.6918730264204275
X16.Fat.Dormouse	0.8652994289050583
X18.West.European.Hedgehog	0.3586878310407019
X19.European.Ground.Squirrel	0.9880643280150273
X199.Human	0.9769520661672064
X201.Human	0.9577725380240251
X203.Red.Deer	0.993030738697873
X221.Alpine.Ibex	0.9925758845858791
X224.Domestic.Cat	0.9560920406933913
X226.Domestic.Cat	0.965019095859639
X228.Domestic.Cat	0.9468203584614786
X235.Pygmy.Slow.Loris	0.9463297146334352
X236.Pygmy.Slow.Loris	0.9567816777644023
X243.Noctule	0.2586293542650613
X280.Western.Grey.Kangaroo	0.991990499765369
X285.Short.beaked.Echidna	0.9535057582348827
X286.Short.beaked.Echidna	0.645562173088409
X287.Common.Brushtail	0.985709158313343
X288.Common.Brushtail	0.9776581789579564
X289.Eastern.Grey.Kangaroo	0.9760131997404536
X290.Eastern.Grey.Kangaroo	0.8764391665952114
X3.Alpine.Chamois	0.9876437266071371
X302.European.Hare	0.9837574608567221
X304.European.Hare	0.9568713957478718
X306.European.Hare	0.9239938620367861
X307.European.Hare	0.8997084557473592
X310.Domestic.Cat	0.8464370430563318
X315.Red.Deer	0.9908485653845062
X339.White.beaked.Dolphin	0.8579840487609385
X341.Western.Lowland.Gorilla	0.9460430376896903
X344.Indian.Rhinoceros	0.948560421709454
X348.European.Rabbit	0.9871768146679804
X353.Raccoon	0.8489703120866754
X354.Hoffmanns.Two.toed.Sloth	0.9387160081111849
X355.Hoffmanns.Two.toed.Sloth	0.7464247091651433
X356.Northern.Tamandua	0.8370093530320979
X357.Northern.Tamandua	0.8959693139802803
X368.European.Ground.Squirrel	0.991808281076801
X369.Koala	0.9076996437936056
X370.African.Bush.Elephant	0.9592933578436836
X376.Kulan	0.9951007290709284
X380.Wild.Boar	0.9878087675092003
X381.Wild.Boar	0.9853031713089861
X382.Arctic.Wolf	0.5397078082618164
X383.Arctic.Wolf	0.930932214254669
X384.Eurasian.Lynx	0.7574037762827897
X4.Red.Fox	0.7782587087798667
X5.European.Hare	0.8806745411497905
X6.Common.Hamster	0.9911450401767152
F35.Red.Deer	0.990917427532705
F36.Red.Deer	0.9790942142808328
F42.Fallow.Deer	0.973742417449439
F44.Fallow.Deer	0.9919401033941092
F45.Red.Deer	0.9897708494117756
F47.Red.Deer	0.9930536663604442
F48.Red.Deer	0.9940851899922363
F66.Wild.Boar	0.9851095586173955
F68.Red.Deer	0.9887370332213714
F69.Red.Deer	0.9902192264647227
F70.Red.Deer	0.9905208097447529
F80.Red.Deer	0.9932730904626986
F90.Domestic.Dog	0.8813400975751492
