"sample_ID" "host_taxonomy_class" "host_taxonomy_order" "host_taxonomy_family" "host_taxonomy_genus" "host_taxonomy_species" "sample_type" "captive_wild" "country" "latitude" "longitude" "habitat" "habitat_detail" "habitat_detail_1" "habitat_detail_2" "diet" "diet_vertebrate" "diet_invertebrate" "diet_fruit" "diet_flowers_nectar_pollen" "diet_leaves_branches_bark_buds" "diet_seeds" "diet_grass_waterplants" "diet_roots_tubers" "collection_date" "sample_ID_2" "ENA_Id" "TimeTree_returned" "SampleID" "Diet" "Order" "Time_Tree_curated" "Sample_ID"
"68" "X81.Wolf" "Mammalia" "Carnivora" "Canidae" "Canis" "Canis_lupus" "feces" "wild" "Mongolia" 43.707594 98.349609 "terrestrial habitat" "grassland" "steppe" "steppe" "carnivore" "yes" "yes" "no" "no" "no" "no" "no" "no" 40804 "81_Wolf" "ERR2860841" "Canis_lupus" "81_Wolf" "carnivore" "Carnivora" "Canis_lupus" "X81.Wolf"
"69" "X85.Domestic.Dog" "Mammalia" "Carnivora" "Canidae" "Canis" "Canis_lupus" "feces" "captive" "Austria" 48.783333 15.066667 "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "carnivore" "yes" "yes" "no" "no" "no" "no" "no" "no" 40803 "85_Domestic_Dog" "ERR2860800" "Canis_lupus" "85_Domestic_Dog" "carnivore" "Carnivora" "Canis_lupus" "X85.Domestic.Dog"
"71" "X88.European.Rabbit" "Mammalia" "Lagomorpha" "Leporidae" "Oryctolagus" "Oryctolagus_cuniculus" "feces" "captive" "Austria" 48.20833 16.373064 "anthropogenic habitat" "anthropogenic habitat" "anthropogenic habitat" "anthropogenic habitat" "herbivore" "no" "no" "no" "no" "yes" "no" "yes" "yes" 40799 "88_European_Rabbit" "ERR2860810" "Oryctolagus_cuniculus" "88_European_Rabbit" "herbivore" "Lagomorpha" "Oryctolagus_cuniculus" "X88.European.Rabbit"
"72" "X89.Fat.Dormouse" "Mammalia" "Rodentia" "Gliridae" "Glis" "Glis_glis" "feces" "wild" "Austria" 48.20833 16.373064 "terrestrial habitat" "woodland" "forest" "forest" "omnivore" "yes" "yes" "yes" "no" "no" "yes" "no" "no" 40759 "89_Fat_Dormouse" "ERR2860791" "Glis_glis" "89_Fat_Dormouse" "omnivore" "Rodentia" "Glis_glis" "X89.Fat.Dormouse"
"73" "X96.European.Hare" "Mammalia" "Lagomorpha" "Leporidae" "Lepus" "Lepus_europaeus" "feces" "wild" "Austria" 47.897778 16.908889 "terrestrial habitat_cultivated habitat" "cultivated habitat" "cultivated habitat" "cultivated habitat" "herbivore" "no" "no" "no" "no" "yes" "yes" "yes" "yes" 40869 "96_European_Hare" "ERR2860818" "Lepus_europaeus" "96_European_Hare" "herbivore" "Lagomorpha" "Lepus_europaeus" "X96.European.Hare"
"76" "X11.Onager" "Mammalia" "Perissodactyla" "Equidae" "Equus" "Equus_hemionus" "feces" "wild" "Iran" 29.608056 52.524722 "terrestrial habitat" "grassland" "steppe" "steppe" "herbivore" "no" "no" "no" "no" "yes" "no" "yes" "no" 40753 "11_Onager" "ERR2860761" "Equus_hemionus" "11_Onager" "herbivore" "Perissodactyla" "Equus_hemionus" "X11.Onager"
"78" "X13.Wolf" "Mammalia" "Carnivora" "Canidae" "Canis" "Canis_lupus" "feces" "wild" "Austria" 46.866667 14.116667 "terrestrial habitat" "woodland" "forest" "forest" "carnivore" "yes" "no" "yes" "no" "no" "no" "no" "no" 39846 "13_Wolf" "ERR2860712" "Canis_lupus" "13_Wolf" "carnivore" "Carnivora" "Canis_lupus" "X13.Wolf"
"80" "X16.Fat.Dormouse" "Mammalia" "Rodentia" "Gliridae" "Glis" "Glis_glis" "feces" "captive" "Austria" 48.20833 16.373064 "anthropogenic habitat" "anthropogenic habitat" "anthropogenic habitat" "anthropogenic habitat" "omnivore" "yes" "yes" "yes" "no" "no" "yes" "no" "no" 40778 "16_Fat_Dormouse" "ERR2860750" "Glis_glis" "16_Fat_Dormouse" "omnivore" "Rodentia" "Glis_glis" "X16.Fat.Dormouse"
"81" "X18.West.European.Hedgehog" "Mammalia" "Insectivora" "Erinaceidae" "Erinaceus" "Erinaceus_europaeus" "feces" "wild" "Austria" 48.663889 16.2475 "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "carnivore" "yes" "yes" "no" "no" "no" "no" "no" "no" 40780 "18_West_European_Hedgehog" "ERR2860765" "Erinaceus_europaeus" "18_West_European_Hedgehog" "carnivore" "Insectivora" "Erinaceus_europaeus" "X18.West.European.Hedgehog"
"82" "X19.European.Ground.Squirrel" "Mammalia" "Rodentia" "Sciuridae" "Spermophilus" "Spermophilus_citellus" "feces" "wild" "Austria" 48.663889 16.2475 "terrestrial habitat" "grassland" "grassland" "grassland" "omnivore" "no" "yes" "no" "no" "no" "yes" "no" "yes" 40780 "19_European_Ground_Squirrel" "ERR2860733" "Spermophilus_citellus" "19_European_Ground_Squirrel" "omnivore" "Rodentia" "Spermophilus_citellus" "X19.European.Ground.Squirrel"
"83" "X199.Human" "Mammalia" "Primates" "Hominidae" "Homo" "Homo_sapiens" "feces" "human" "Austria" 48.20833 16.373064 "anthropogenic habitat" "anthropogenic habitat" "anthropogenic habitat" "anthropogenic habitat" "omnivore" "yes" "no" "yes" "no" "yes" "yes" "no" "yes" 41172 "199_Human" "ERR2860738" "Homo_sapiens" "199_Human" "omnivore" "Primates" "Homo_sapiens" "X199.Human"
"85" "X201.Human" "Mammalia" "Primates" "Hominidae" "Homo" "Homo_sapiens" "feces" "human" "Austria" 48.20833 16.373064 "anthropogenic habitat" "anthropogenic habitat" "anthropogenic habitat" "anthropogenic habitat" "omnivore" "yes" "no" "yes" "no" "yes" "yes" "no" "yes" 41183 "201_Human" "ERR2860703" "Homo_sapiens" "201_Human" "omnivore" "Primates" "Homo_sapiens" "X201.Human"
"86" "X203.Red.Deer" "Mammalia" "Artiodactyla" "Cervidae" "Cervus" "Cervus_elaphus" "feces" "wild" "Austria" 47.017778 12.780833 "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "herbivore" "no" "no" "yes" "no" "yes" "yes" "yes" "yes" 40856 "203_Red_Deer" "ERR2860723" "Cervus_elaphus" "203_Red_Deer" "herbivore" "Cetartiodactyla" "Cervus_elaphus" "X203.Red.Deer"
"88" "X221.Alpine.Ibex" "Mammalia" "Artiodactyla" "Bovidae" "Capra" "Capra_ibex" "feces" "captive" "Austria" 47.759409 13.060725 "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "herbivore" "no" "no" "no" "no" "yes" "no" "yes" "yes" 40855 "221_Alpine_Ibex" "ERR2860788" "Capra_ibex" "221_Alpine_Ibex" "herbivore" "Cetartiodactyla" "Capra_ibex" "X221.Alpine.Ibex"
"89" "X224.Domestic.Cat" "Mammalia" "Carnivora" "Felidae" "Felis" "Felis_catus" "feces" "captive" "Austria" 48.236304 15.333137 "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "carnivore" "yes" "yes" "no" "no" "no" "no" "no" "no" 41176 "224_Domestic_Cat" "ERR2860751" "Felis_catus" "224_Domestic_Cat" "carnivore" "Carnivora" "Felis_catus" "X224.Domestic.Cat"
"90" "X226.Domestic.Cat" "Mammalia" "Carnivora" "Felidae" "Felis" "Felis_catus" "feces" "captive" "Austria" 48.236304 15.333137 "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "carnivore" "yes" "yes" "no" "no" "no" "no" "no" "no" 41176 "226_Domestic_Cat" "ERR2860734" "Felis_catus" "226_Domestic_Cat" "carnivore" "Carnivora" "Felis_catus" "X226.Domestic.Cat"
"91" "X228.Domestic.Cat" "Mammalia" "Carnivora" "Felidae" "Felis" "Felis_catus" "feces" "captive" "Austria" 48.18721 15.37079 "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "carnivore" "yes" "yes" "no" "no" "no" "no" "no" "no" 41177 "228_Domestic_Cat" "ERR2860776" "Felis_catus" "228_Domestic_Cat" "carnivore" "Carnivora" "Felis_catus" "X228.Domestic.Cat"
"92" "X235.Pygmy.Slow.Loris" "Mammalia" "Primates" "Lorisidae" "Nycticebus" "Nycticebus_pygmaeus" "feces" "wild" "Viet Nam" 20.316667 105.608333 "terrestrial habitat" "woodland" "forest" "forest" "omnivore" "yes" "yes" "yes" "yes" "no" "no" "no" "no" 41083 "235_Pygmy_Slow_Loris" "ERR2860708" "Nycticebus_pygmaeus" "235_Pygmy_Slow_Loris" "omnivore" "Primates" "Nycticebus_pygmaeus" "X235.Pygmy.Slow.Loris"
"93" "X236.Pygmy.Slow.Loris" "Mammalia" "Primates" "Lorisidae" "Nycticebus" "Nycticebus_pygmaeus" "feces" "wild" "Viet Nam" 20.316667 105.608333 "terrestrial habitat" "woodland" "forest" "forest" "omnivore" "yes" "yes" "yes" "yes" "no" "no" "no" "no" 41083 "236_Pygmy_Slow_Loris" "ERR2860694" "Nycticebus_pygmaeus" "236_Pygmy_Slow_Loris" "omnivore" "Primates" "Nycticebus_pygmaeus" "X236.Pygmy.Slow.Loris"
"98" "X243.Noctule" "Mammalia" "Chiroptera" "Vespertilionidae" "Nyctalus" "Nyctalus_noctula" "feces" "wild" "Austria" 48.20833 16.373064 "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "carnivore" "no" "yes" "no" "no" "no" "no" "no" "no" 41109 "243_Noctule" "ERR2860741" "Nyctalus_noctula" "243_Noctule" "carnivore" "Chiroptera" "Nyctalus_noctula" "X243.Noctule"
"99" "X280.Western.Grey.Kangaroo" "Mammalia" "Diprotodontia" "Macropodidae" "Macropus" "Macropus_fuliginosus" "feces" "wild" "Australia" -35.833333 137.25 "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "herbivore" "no" "no" "no" "no" "yes" "yes" "no" "no" 41167 "280_Western_Grey_Kangaroo" "ERR2860721" "Macropus_fuliginosus" "280_Western_Grey_Kangaroo" "herbivore" "Diprotodontia" "Macropus_fuliginosus" "X280.Western.Grey.Kangaroo"
"100" "X285.Short.beaked.Echidna" "Mammalia" "Monotremata" "Tachyglossidae" "Tachyglossus" "Tachyglossus_aculeatus" "feces" "wild" "Australia" -35.833333 137.25 "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "carnivore" "no" "yes" "no" "no" "no" "no" "no" "no" 41197 "285_Short_beaked_Echidna" "ERR2860739" "Tachyglossus_aculeatus" "285_Short_beaked_Echidna" "carnivore" "Monotremata" "Tachyglossus_aculeatus" "X285.Short.beaked.Echidna"
"101" "X286.Short.beaked.Echidna" "Mammalia" "Monotremata" "Tachyglossidae" "Tachyglossus" "Tachyglossus_aculeatus" "feces" "wild" "Australia" -35.833333 137.25 "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "carnivore" "no" "yes" "no" "no" "no" "no" "no" "no" 41197 "286_Short_beaked_Echidna" "ERR2860752" "Tachyglossus_aculeatus" "286_Short_beaked_Echidna" "carnivore" "Monotremata" "Tachyglossus_aculeatus" "X286.Short.beaked.Echidna"
"102" "X287.Common.Brushtail" "Mammalia" "Diprotodontia" "Phalangeridae" "Trichosurus" "Trichosurus_vulpecula" "feces" "wild" "Australia" -34.929 138.601 "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "omnivore" "no" "yes" "yes" "yes" "yes" "no" "no" "yes" 41258 "287_Common_Brushtail" "ERR2860730" "Trichosurus_vulpecula" "287_Common_Brushtail" "omnivore" "Diprotodontia" "Trichosurus_vulpecula" "X287.Common.Brushtail"
"103" "X288.Common.Brushtail" "Mammalia" "Diprotodontia" "Phalangeridae" "Trichosurus" "Trichosurus_vulpecula" "feces" "wild" "Australia" -34.929 138.601 "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "omnivore" "no" "yes" "yes" "yes" "yes" "no" "no" "yes" 41258 "288_Common_Brushtail" "ERR2860697" "Trichosurus_vulpecula" "288_Common_Brushtail" "omnivore" "Diprotodontia" "Trichosurus_vulpecula" "X288.Common.Brushtail"
"104" "X289.Eastern.Grey.Kangaroo" "Mammalia" "Diprotodontia" "Macropodidae" "Macropus" "Macropus_giganteus" "feces" "wild" "Australia" -30.000232 136.209155 "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "herbivore" "no" "no" "no" "no" "yes" "no" "yes" "no" 41258 "289_Eastern_Grey_Kangaroo" "ERR2860685" "Macropus_giganteus" "289_Eastern_Grey_Kangaroo" "herbivore" "Diprotodontia" "Macropus_giganteus" "X289.Eastern.Grey.Kangaroo"
"105" "X290.Eastern.Grey.Kangaroo" "Mammalia" "Diprotodontia" "Macropodidae" "Macropus" "Macropus_giganteus" "feces" "wild" "Australia" -30.000232 136.209155 "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "herbivore" "no" "no" "no" "no" "yes" "no" "yes" "no" 41258 "290_Eastern_Grey_Kangaroo" "ERR2860722" "Macropus_giganteus" "290_Eastern_Grey_Kangaroo" "herbivore" "Diprotodontia" "Macropus_giganteus" "X290.Eastern.Grey.Kangaroo"
"106" "X3.Alpine.Chamois" "Mammalia" "Artiodactyla" "Bovidae" "Rupicapra" "Rupicapra_rupicapra" "feces" "wild" "Austria" 47.7779 13.23383 "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "herbivore" "no" "no" "no" "no" "yes" "no" "yes" "yes" 40681 "3_Alpine_Chamois" "ERR2860758" "Rupicapra_rupicapra" "3_Alpine_Chamois" "herbivore" "Cetartiodactyla" "Rupicapra_rupicapra" "X3.Alpine.Chamois"
"107" "X302.European.Hare" "Mammalia" "Lagomorpha" "Leporidae" "Lepus" "Lepus_europaeus" "feces" "wild" "Austria" 48.7564 16.501147 "terrestrial habitat_cultivated habitat" "cultivated habitat" "cultivated habitat" "cultivated habitat" "herbivore" "no" "no" "no" "no" "yes" "yes" "yes" "yes" 40765 "302_European_Hare" "ERR2860789" "Lepus_europaeus" "302_European_Hare" "herbivore" "Lagomorpha" "Lepus_europaeus" "X302.European.Hare"
"108" "X304.European.Hare" "Mammalia" "Lagomorpha" "Leporidae" "Lepus" "Lepus_europaeus" "feces" "wild" "Austria" 48.7564 16.501147 "terrestrial habitat_cultivated habitat" "cultivated habitat" "cultivated habitat" "cultivated habitat" "herbivore" "no" "no" "no" "no" "yes" "yes" "yes" "yes" 40765 "304_European_Hare" "ERR2860759" "Lepus_europaeus" "304_European_Hare" "herbivore" "Lagomorpha" "Lepus_europaeus" "X304.European.Hare"
"109" "X306.European.Hare" "Mammalia" "Lagomorpha" "Leporidae" "Lepus" "Lepus_europaeus" "feces" "wild" "Austria" 48.7564 16.501147 "terrestrial habitat_cultivated habitat" "cultivated habitat" "cultivated habitat" "cultivated habitat" "herbivore" "no" "no" "no" "no" "yes" "yes" "yes" "yes" 40765 "306_European_Hare" "ERR2860775" "Lepus_europaeus" "306_European_Hare" "herbivore" "Lagomorpha" "Lepus_europaeus" "X306.European.Hare"
"110" "X307.European.Hare" "Mammalia" "Lagomorpha" "Leporidae" "Lepus" "Lepus_europaeus" "feces" "wild" "Austria" 48.7564 16.501147 "terrestrial habitat_cultivated habitat" "cultivated habitat" "cultivated habitat" "cultivated habitat" "herbivore" "no" "no" "no" "no" "yes" "yes" "yes" "yes" 40765 "307_European_Hare" "ERR2860784" "Lepus_europaeus" "307_European_Hare" "herbivore" "Lagomorpha" "Lepus_europaeus" "X307.European.Hare"
"111" "X310.Domestic.Cat" "Mammalia" "Carnivora" "Felidae" "Felis" "Felis_catus" "feces" "captive" "Austria" 48.20833 16.373064 "anthropogenic habitat" "anthropogenic habitat" "anthropogenic habitat" "anthropogenic habitat" "carnivore" "yes" "yes" "no" "no" "no" "no" "no" "no" 41261 "310_Domestic_Cat" "ERR2860717" "Felis_catus" "310_Domestic_Cat" "carnivore" "Carnivora" "Felis_catus" "X310.Domestic.Cat"
"112" "X315.Red.Deer" "Mammalia" "Artiodactyla" "Cervidae" "Cervus" "Cervus_elaphus" "feces" "captive" "Austria" 48.20833 16.373064 "terrestrial habitat" "woodland" "forest" "forest" "herbivore" "no" "no" "yes" "no" "yes" "yes" "yes" "yes" 40725 "315_Red_Deer" "ERR2860780" "Cervus_elaphus" "315_Red_Deer" "herbivore" "Cetartiodactyla" "Cervus_elaphus" "X315.Red.Deer"
"115" "X339.White.beaked.Dolphin" "Mammalia" "Cetacea" "Delphinidae" "Lagenorhynchus" "Lagenorhynchus_albirostris" "feces" "wild" "England" 52.375861 1.712236 "aquatic habitat" "saline water habitat" "marine habitat" "marine habitat" "carnivore" "yes" "yes" "no" "no" "no" "no" "no" "no" 41100 "339_White_beaked_Dolphin" "ERR2860711" "Lagenorhynchus_albirostris" "339_White_beaked_Dolphin" "carnivore" "Cetacea" "Lagenorhynchus_albirostris" "X339.White.beaked.Dolphin"
"116" "X341.Western.Lowland.Gorilla" "Mammalia" "Primates" "Hominidae" "Gorilla" "Gorilla_gorilla" "feces" "wild" "Republic of the Congo" 0.219726 14.853516 "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "herbivore" "no" "no" "yes" "no" "yes" "no" "yes" "yes" 41367 "341_Western_Lowland_Gorilla" "ERR2860687" "Gorilla_gorilla" "341_Western_Lowland_Gorilla" "herbivore" "Primates" "Gorilla_gorilla" "X341.Western.Lowland.Gorilla"
"117" "X344.Indian.Rhinoceros" "Mammalia" "Perissodactyla" "Rhinocerotidae" "Rhinoceros" "Rhinoceros_unicornis" "feces" "wild" "Nepal" 27.529131 84.354205 "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "herbivore" "no" "no" "yes" "no" "yes" "no" "yes" "no" 41228 "344_Indian_Rhinoceros" "ERR2860771" "Rhinoceros_unicornis" "344_Indian_Rhinoceros" "herbivore" "Perissodactyla" "Rhinoceros_unicornis" "X344.Indian.Rhinoceros"
"119" "X348.European.Rabbit" "Mammalia" "Lagomorpha" "Leporidae" "Oryctolagus" "Oryctolagus_cuniculus" "gut" "wild" "Austria" 48.452641 15.68708 "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "herbivore" "no" "no" "no" "no" "yes" "no" "yes" "yes" 41247 "348_European_Rabbit" "ERR2860787" "Oryctolagus_cuniculus" "348_European_Rabbit" "herbivore" "Lagomorpha" "Oryctolagus_cuniculus" "X348.European.Rabbit"
"121" "X353.Raccoon" "Mammalia" "Carnivora" "Procyonidae" "Procyon" "Procyon_lotor" "feces" "wild" "Costa Rica" 9.96304 -84.04823 "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "omnivore" "yes" "yes" "yes" "no" "yes" "yes" "no" "yes" 41303 "353_Raccoon" "ERR2860743" "Procyon_lotor" "353_Raccoon" "omnivore" "Carnivora" "Procyon_lotor" "X353.Raccoon"
"122" "X354.Hoffmanns.Two.toed.Sloth" "Mammalia" "Pilosa" "Megalonychidae" "Choloepus" "Choloepus_hoffmanni" "feces" "wild" NA 12.822514 -84.100342 "terrestrial habitat" "woodland" "forest" "forest" "herbivore" "no" "no" "yes" "no" "yes" "no" "no" "yes" 41388 "354_Hoffmanns_Two_toed_Sloth" "ERR2860764" "Choloepus_hoffmanni" "354_Hoffmanns_Two_toed_Sloth" "herbivore" "Pilosa" "Choloepus_hoffmanni" "X354.Hoffmanns.Two.toed.Sloth"
"123" "X355.Hoffmanns.Two.toed.Sloth" "Mammalia" "Pilosa" "Megalonychidae" "Choloepus" "Choloepus_hoffmanni" "feces" "wild" NA 12.822514 -84.100342 "terrestrial habitat" "woodland" "forest" "forest" "herbivore" "no" "no" "yes" "no" "yes" "no" "no" "yes" 41388 "355_Hoffmanns_Two_toed_Sloth" "ERR2860696" "Choloepus_hoffmanni" "355_Hoffmanns_Two_toed_Sloth" "herbivore" "Pilosa" "Choloepus_hoffmanni" "X355.Hoffmanns.Two.toed.Sloth"
"124" "X356.Northern.Tamandua" "Mammalia" "Pilosa" "Myrmecophagidae" "Tamandua" "Tamandua_mexicana" "feces" "wild" NA 6.489983 -75.19043 "terrestrial habitat" "woodland" "forest" "forest" "carnivore" "no" "yes" "yes" "no" "no" "no" "no" "no" 41336 "356_Northern_Tamandua" "ERR2860731" "Tamandua_mexicana" "356_Northern_Tamandua" "carnivore" "Pilosa" "Tamandua_mexicana" "X356.Northern.Tamandua"
"125" "X357.Northern.Tamandua" "Mammalia" "Pilosa" "Myrmecophagidae" "Tamandua" "Tamandua_mexicana" "feces" "wild" NA 6.489983 -75.19043 "terrestrial habitat" "woodland" "forest" "forest" "carnivore" "no" "yes" "yes" "no" "no" "no" "no" "no" 41270 "357_Northern_Tamandua" "ERR2860748" "Tamandua_mexicana" "357_Northern_Tamandua" "carnivore" "Pilosa" "Tamandua_mexicana" "X357.Northern.Tamandua"
"127" "X368.European.Ground.Squirrel" "Mammalia" "Rodentia" "Sciuridae" "Spermophilus" "Spermophilus_citellus" "feces" "captive" "Austria" 48.20833 16.373064 "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "omnivore" "no" "yes" "no" "no" "no" "yes" "no" "yes" 41442 "368_European_Ground_Squirrel" "ERR2860718" "Spermophilus_citellus" "368_European_Ground_Squirrel" "omnivore" "Rodentia" "Spermophilus_citellus" "X368.European.Ground.Squirrel"
"128" "X369.Koala" "Mammalia" "Diprotodontia" "Phascolarctidae" "Phascolarctos" "Phascolarctos_cinereus" "feces" "captive" "Austria" 48.20833 16.373064 "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "herbivore" "no" "no" "yes" "no" "yes" "no" "no" "no" 41442 "369_Koala" "ERR2860742" "Phascolarctos_cinereus" "369_Koala" "herbivore" "Diprotodontia" "Phascolarctos_cinereus" "X369.Koala"
"129" "X370.African.Bush.Elephant" "Mammalia" "Proboscidea" "Elephantidae" "Loxodonta" "Loxodonta_africana" "feces" "captive" "Austria" 48.20833 16.373064 "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "herbivore" "no" "no" "yes" "no" "yes" "no" "yes" "yes" 41430 "370_African_Bush_Elephant" "ERR2860774" "Loxodonta_africana" "370_African_Bush_Elephant" "herbivore" "Proboscidea" "Loxodonta_africana" "X370.African.Bush.Elephant"
"130" "X376.Kulan" "Mammalia" "Perissodactyla" "Equidae" "Equus" "Equus_hemionus" "feces" "wild" "Mongolia" 45.4 92.9 "terrestrial habitat" "grassland" "steppe" "steppe" "herbivore" "no" "no" "no" "no" "yes" "no" "yes" "no" 41439 "376_Kulan" "ERR2860710" "Equus_hemionus" "376_Kulan" "herbivore" "Perissodactyla" "Equus_hemionus" "X376.Kulan"
"131" "X380.Wild.Boar" "Mammalia" "Artiodactyla" "Suidae" "Sus" "Sus_scrofa" "feces" "captive" "Austria" 47.5 16.416667 "terrestrial habitat" "woodland" "forest" "forest" "omnivore" "yes" "yes" "yes" "no" "yes" "yes" "yes" "yes" 41594 "380_Wild_Boar" "ERR2860763" "Sus_scrofa" "380_Wild_Boar" "omnivore" "Cetartiodactyla" "Sus_scrofa" "X380.Wild.Boar"
"132" "X381.Wild.Boar" "Mammalia" "Artiodactyla" "Suidae" "Sus" "Sus_scrofa" "feces" "captive" "Austria" 47.5 16.416667 "terrestrial habitat" "woodland" "forest" "forest" "omnivore" "yes" "yes" "yes" "no" "yes" "yes" "yes" "yes" 41594 "381_Wild_Boar" "ERR2860688" "Sus_scrofa" "381_Wild_Boar" "omnivore" "Cetartiodactyla" "Sus_scrofa" "X381.Wild.Boar"
"133" "X382.Arctic.Wolf" "Mammalia" "Carnivora" "Canidae" "Canis" "Canis_lupus" "feces" "captive" "Austria" 47.224 15.812 "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "carnivore" "yes" "no" "no" "no" "no" "no" "no" "no" 41624 "382_Arctic_Wolf" "ERR2860766" "Canis_lupus" "382_Arctic_Wolf" "carnivore" "Carnivora" "Canis_lupus" "X382.Arctic.Wolf"
"134" "X383.Arctic.Wolf" "Mammalia" "Carnivora" "Canidae" "Canis" "Canis_lupus" "feces" "captive" "Austria" 48.20833 16.373064 "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "carnivore" "yes" "no" "no" "no" "no" "no" "no" "no" 41594 "383_Arctic_Wolf" "ERR2860746" "Canis_lupus" "383_Arctic_Wolf" "carnivore" "Carnivora" "Canis_lupus" "X383.Arctic.Wolf"
"135" "X384.Eurasian.Lynx" "Mammalia" "Carnivora" "Felidae" "Lynx" "Lynx_lynx" "feces" "captive" "Austria" 47.224 15.812 "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "carnivore" "yes" "no" "no" "no" "no" "no" "no" "no" 41624 "384_Eurasian_Lynx" "ERR2860706" "Lynx_lynx" "384_Eurasian_Lynx" "carnivore" "Carnivora" "Lynx_lynx" "X384.Eurasian.Lynx"
"136" "X4.Red.Fox" "Mammalia" "Carnivora" "Canidae" "Vulpes" "Vulpes_vulpes" "feces" "wild" "Germany" 49.539444 6.89 "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "omnivore" "yes" "yes" "yes" "no" "no" "no" "no" "no" 40683 "4_Red_Fox" "ERR2860785" "Vulpes_vulpes" "4_Red_Fox" "omnivore" "Carnivora" "Vulpes_vulpes" "X4.Red.Fox"
"139" "X5.European.Hare" "Mammalia" "Lagomorpha" "Leporidae" "Lepus" "Lepus_europaeus" "feces" "wild" "Austria" 48.85 15.283333 "terrestrial habitat_cultivated habitat" "cultivated habitat" "cultivated habitat" "cultivated habitat" "herbivore" "no" "no" "no" "no" "yes" "yes" "yes" "yes" 40703 "5_European_Hare" "ERR2860716" "Lepus_europaeus" "5_European_Hare" "herbivore" "Lagomorpha" "Lepus_europaeus" "X5.European.Hare"
"140" "X6.Common.Hamster" "Mammalia" "Rodentia" "Cricetidae" "Cricetus" "Cricetus_cricetus" "gut" "wild" "Austria" 48.20833 16.373064 "terrestrial habitat_cultivated habitat" "cultivated habitat" "cultivated habitat" "cultivated habitat" "omnivore" "no" "yes" "yes" "no" "no" "yes" "no" "yes" 40731 "6_Common_Hamster" "ERR2860699" "Cricetus_cricetus" "6_Common_Hamster" "omnivore" "Rodentia" "Cricetus_cricetus" "X6.Common.Hamster"
"143" "F35.Red.Deer" "Mammalia" "Artiodactyla" "Cervidae" "Cervus" "Cervus_elaphus" "feces" "wild" "Austria" 48.20833 16.373064 "terrestrial habitat" "grassland" "meadow" "flood meadow" "herbivore" "no" "no" "yes" "no" "yes" "yes" "yes" "yes" 40450 "35_Red_Deer" "ERR2860725" "Cervus_elaphus" "35_Red_Deer" "herbivore" "Cetartiodactyla" "Cervus_elaphus" "F35.Red.Deer"
"144" "F36.Red.Deer" "Mammalia" "Artiodactyla" "Cervidae" "Cervus" "Cervus_elaphus" "feces" "wild" "Austria" 48.20833 16.373064 "terrestrial habitat" "grassland" "meadow" "flood meadow" "herbivore" "no" "no" "yes" "no" "yes" "yes" "yes" "yes" 40450 "36_Red_Deer" "ERR2860778" "Cervus_elaphus" "36_Red_Deer" "herbivore" "Cetartiodactyla" "Cervus_elaphus" "F36.Red.Deer"
