"sample_ID" "host_taxonomy_class" "host_taxonomy_order" "host_taxonomy_family" "host_taxonomy_genus" "host_taxonomy_species" "sample_type" "captive_wild" "country" "latitude" "longitude" "habitat" "habitat_detail" "habitat_detail_1" "habitat_detail_2" "diet" "diet_vertebrate" "diet_invertebrate" "diet_fruit" "diet_flowers_nectar_pollen" "diet_leaves_branches_bark_buds" "diet_seeds" "diet_grass_waterplants" "diet_roots_tubers" "collection_date" "sample_ID_2" "ENA_Id" "TimeTree_returned" "SampleID" "Diet" "Order" "Time_Tree_curated" "Sample_ID"
"15" "X137.Gaur" "Mammalia" "Artiodactyla" "Bovidae" "Bos" "Bos_frontalis" "feces" "wild" "Viet Nam" 11.423333 107.428611 "terrestrial habitat" "woodland" "forest" "forest" "herbivore" "no" "no" "no" "no" "yes" "no" "yes" "no" 40972 "137_Gaur" "ERR2860868" "Bos_frontalis" "137_Gaur" "herbivore" "Cetartiodactyla" "Bos_frontalis" "X137.Gaur"
"16" "X138.Gaur" "Mammalia" "Artiodactyla" "Bovidae" "Bos" "Bos_frontalis" "feces" "wild" "Viet Nam" 11.423333 107.428611 "terrestrial habitat" "woodland" "forest" "forest" "herbivore" "no" "no" "no" "no" "yes" "no" "yes" "no" 40974 "138_Gaur" "ERR2860881" "Bos_frontalis" "138_Gaur" "herbivore" "Cetartiodactyla" "Bos_frontalis" "X138.Gaur"
"17" "X139.Sambar" "Mammalia" "Artiodactyla" "Cervidae" "Cervus" "Cervus_unicolor" "feces" "wild" "Viet Nam" 11.423333 107.428611 "terrestrial habitat" "woodland" "forest" "forest" "herbivore" "no" "no" "yes" "no" "yes" "yes" "yes" "yes" 40976 "139_Sambar" "ERR2860806" "Cervus_unicolor" "139_Sambar" "herbivore" "Cetartiodactyla" "Cervus_unicolor" "X139.Sambar"
"18" "X140.Sambar" "Mammalia" "Artiodactyla" "Cervidae" "Cervus" "Cervus_unicolor" "feces" "wild" "Viet Nam" 11.423333 107.428611 "terrestrial habitat" "woodland" "forest" "forest" "herbivore" "no" "no" "yes" "no" "yes" "yes" "yes" "yes" 40977 "140_Sambar" "ERR2860835" "Cervus_unicolor" "140_Sambar" "herbivore" "Cetartiodactyla" "Cervus_unicolor" "X140.Sambar"
"20" "X202.Human" "Mammalia" "Primates" "Hominidae" "Homo" "Homo_sapiens" "feces" "human" "Austria" 47.726944 16.081667 "anthropogenic habitat" "anthropogenic habitat" "anthropogenic habitat" "anthropogenic habitat" "omnivore" "yes" "no" "yes" "no" "yes" "yes" "no" "yes" 41183 "202_Human" "ERR2860839" "Homo_sapiens" "202_Human" "omnivore" "Primates" "Homo_sapiens" "X202.Human"
"21" "X223.Human" "Mammalia" "Primates" "Hominidae" "Homo" "Homo_sapiens" "feces" "human" "Austria" 48.20833 16.373064 "anthropogenic habitat" "anthropogenic habitat" "anthropogenic habitat" "anthropogenic habitat" "omnivore" "yes" "no" "yes" "no" "yes" "yes" "no" "yes" 41234 "223_Human" "ERR2860845" "Homo_sapiens" "223_Human" "omnivore" "Primates" "Homo_sapiens" "X223.Human"
"22" "X231.Brown.Bear" "Mammalia" "Carnivora" "Ursidae" "Ursus" "Ursus_arctos" "feces" "wild" "Austria" 47.25374 11.601487 "terrestrial habitat" "woodland" "forest" "forest" "omnivore" "yes" "yes" "yes" "yes" "yes" "yes" "yes" "yes" 41024 "231_Brown_Bear" "ERR2860892" "Ursus_arctos" "231_Brown_Bear" "omnivore" "Carnivora" "Ursus_arctos" "X231.Brown.Bear"
"23" "X247.Common.Hamster" "Mammalia" "Rodentia" "Cricetidae" "Cricetus" "Cricetus_cricetus" "feces" "wild" "Austria" 48.410833 15.610278 "terrestrial habitat_cultivated habitat" "cultivated habitat" "cultivated habitat" "cultivated habitat" "omnivore" "no" "yes" "yes" "no" "no" "yes" "no" "yes" 41131 "247_Common_Hamster" "ERR2860797" "Cricetus_cricetus" "247_Common_Hamster" "omnivore" "Rodentia" "Cricetus_cricetus" "X247.Common.Hamster"
"24" "X252.Eurasian.Lynx" "Mammalia" "Carnivora" "Felidae" "Lynx" "Lynx_lynx" "feces" "wild" "Austria" 48.226667 14.179444 "terrestrial habitat" "woodland" "forest" "forest" "carnivore" "yes" "no" "no" "no" "no" "no" "no" "no" 41193 "252_Eurasian_Lynx" "ERR2860871" "Lynx_lynx" "252_Eurasian_Lynx" "carnivore" "Carnivora" "Lynx_lynx" "X252.Eurasian.Lynx"
"25" "X279.Western.Grey.Kangaroo" "Mammalia" "Diprotodontia" "Macropodidae" "Macropus" "Macropus_fuliginosus" "feces" "wild" "Australia" -35.833333 137.25 "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "herbivore" "no" "no" "no" "no" "yes" "yes" "no" "no" 41167 "279_Western_Grey_Kangaroo" "ERR2860772" "Macropus_fuliginosus" "279_Western_Grey_Kangaroo" "herbivore" "Diprotodontia" "Macropus_fuliginosus" "X279.Western.Grey.Kangaroo"
"27" "X283.Koala" "Mammalia" "Diprotodontia" "Phascolarctidae" "Phascolarctos" "Phascolarctos_cinereus" "feces" "wild" "Australia" -34.95 138.683333 "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "herbivore" "no" "no" "yes" "no" "yes" "no" "no" "no" 41258 "283_Koala" "ERR2860794" "Phascolarctos_cinereus" "283_Koala" "herbivore" "Diprotodontia" "Phascolarctos_cinereus" "X283.Koala"
"29" "X301.European.Hare" "Mammalia" "Lagomorpha" "Leporidae" "Lepus" "Lepus_europaeus" "feces" "wild" "Austria" 48.7564 16.501147 "terrestrial habitat_cultivated habitat" "cultivated habitat" "cultivated habitat" "cultivated habitat" "herbivore" "no" "no" "no" "no" "yes" "yes" "yes" "yes" 40765 "301_European_Hare" "ERR2860803" "Lepus_europaeus" "301_European_Hare" "herbivore" "Lagomorpha" "Lepus_europaeus" "X301.European.Hare"
"33" "X338.White.beaked.Dolphin" "Mammalia" "Cetacea" "Delphinidae" "Lagenorhynchus" "Lagenorhynchus_albirostris" "feces" "wild" "England" 51.395136 1.380501 "aquatic habitat" "saline water habitat" "marine habitat" "marine habitat" "carnivore" "yes" "yes" "no" "no" "no" "no" "no" "no" 40990 "338_White_beaked_Dolphin" "ERR2860838" "Lagenorhynchus_albirostris" "338_White_beaked_Dolphin" "carnivore" "Cetacea" "Lagenorhynchus_albirostris" "X338.White.beaked.Dolphin"
"34" "X340.Western.Lowland.Gorilla" "Mammalia" "Primates" "Hominidae" "Gorilla" "Gorilla_gorilla" "feces" "wild" "Republic of the Congo" 0.219726 14.853516 "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "herbivore" "no" "no" "yes" "no" "yes" "no" "yes" "yes" 41367 "340_Western_Lowland_Gorilla" "ERR2860823" "Gorilla_gorilla" "340_Western_Lowland_Gorilla" "herbivore" "Primates" "Gorilla_gorilla" "X340.Western.Lowland.Gorilla"
"35" "X347.Brown.Bear" "Mammalia" "Carnivora" "Ursidae" "Ursus" "Ursus_arctos" "feces" "captive" "Austria" 48.48073 14.92667 "terrestrial habitat" "woodland" "forest" "forest" "omnivore" "yes" "yes" "yes" "yes" "yes" "yes" "yes" "yes" 40827 "347_Brown_Bear" "ERR2860874" "Ursus_arctos" "347_Brown_Bear" "omnivore" "Carnivora" "Ursus_arctos" "X347.Brown.Bear"
"40" "X389.Indian.Rhinoceros" "Mammalia" "Perissodactyla" "Rhinocerotidae" "Rhinoceros" "Rhinoceros_unicornis" "feces" "captive" "Austria" 48.20833 16.373064 "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "herbivore" "no" "no" "yes" "no" "yes" "no" "yes" "no" 41605 "389_Indian_Rhinoceros" "ERR2860885" "Rhinoceros_unicornis" "389_Indian_Rhinoceros" "herbivore" "Perissodactyla" "Rhinoceros_unicornis" "X389.Indian.Rhinoceros"
"41" "X390.European.Ground.Squirrel" "Mammalia" "Rodentia" "Sciuridae" "Spermophilus" "Spermophilus_citellus" "feces" "captive" "Austria" 48.20833 16.373064 "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "omnivore" "no" "yes" "no" "no" "no" "yes" "no" "yes" 41426 "390_European_Ground_Squirrel" "ERR2860807" "Spermophilus_citellus" "390_European_Ground_Squirrel" "omnivore" "Rodentia" "Spermophilus_citellus" "X390.European.Ground.Squirrel"
"42" "X394.Przewalski.horse" "Mammalia" "Perissodactyla" "Equidae" "Equus" "Equus_caballus" "feces" "wild" "Mongolia" 45.4 92.9 "terrestrial habitat" "grassland" "steppe" "steppe" "herbivore" "no" "no" "no" "no" "yes" "yes" "yes" "no" 41439 "394_Przewalski_horse" "ERR2860852" "Equus_caballus" "394_Przewalski_horse" "herbivore" "Perissodactyla" "Equus_caballus" "X394.Przewalski.horse"
"43" "X395.Przewalski.horse" "Mammalia" "Perissodactyla" "Equidae" "Equus" "Equus_caballus" "feces" "captive" "Austria" 47.224 15.812 "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "herbivore" "no" "no" "no" "no" "yes" "yes" "yes" "no" 41623 "395_Przewalski_horse" "ERR2860890" "Equus_caballus" "395_Przewalski_horse" "herbivore" "Perissodactyla" "Equus_caballus" "X395.Przewalski.horse"
"45" "X407.African.Bush.Elephant" "Mammalia" "Proboscidea" "Elephantidae" "Loxodonta" "Loxodonta_africana" "feces" "wild" "South Africa" -24.995833 31.591944 "terrestrial habitat" "woodland" "forest" "forest" "herbivore" "no" "no" "yes" "no" "yes" "no" "yes" "yes" 41673 "407_African_Bush_Elephant" "ERR2860837" "Loxodonta_africana" "407_African_Bush_Elephant" "herbivore" "Proboscidea" "Loxodonta_africana" "X407.African.Bush.Elephant"
"46" "X408.African.Bush.Elephant" "Mammalia" "Proboscidea" "Elephantidae" "Loxodonta" "Loxodonta_africana" "feces" "wild" "South Africa" -24.995833 31.591944 "terrestrial habitat" "woodland" "forest" "forest" "herbivore" "no" "no" "yes" "no" "yes" "no" "yes" "yes" 41673 "408_African_Bush_Elephant" "ERR2860864" "Loxodonta_africana" "408_African_Bush_Elephant" "herbivore" "Proboscidea" "Loxodonta_africana" "X408.African.Bush.Elephant"
"49" "X412.Lion" "Mammalia" "Carnivora" "Felidae" "Panthera" "Panthera_leo" "feces" "wild" "South Africa" -24.935199 31.538658 "terrestrial habitat" "woodland" "forest" "forest" "carnivore" "yes" "no" "no" "no" "no" "no" "no" "no" 41711 "412_Lion" "ERR2860883" "Panthera_leo" "412_Lion" "carnivore" "Carnivora" "Panthera_leo" "X412.Lion"
"50" "X413.Lion" "Mammalia" "Carnivora" "Felidae" "Panthera" "Panthera_leo" "feces" "wild" "South Africa" -23.231251 30.492554 "terrestrial habitat" "woodland" "forest" "forest" "carnivore" "yes" "no" "no" "no" "no" "no" "no" "no" 41548 "413_Lion" "ERR2860865" "Panthera_leo" "413_Lion" "carnivore" "Carnivora" "Panthera_leo" "X413.Lion"
"51" "X414.Vervet.Monkey" "Mammalia" "Primates" "Cercopithecidae" "Chlorocebus" "Chlorocebus_pygerythrus" "feces" "wild" "South Africa" -24.995833 31.591944 "terrestrial habitat" "woodland" "forest" "forest" "omnivore" "yes" "yes" "yes" "no" "yes" "no" "no" "no" 41513 "414_Vervet_Monkey" "ERR2860855" "Chlorocebus_pygerythrus" "414_Vervet_Monkey" "omnivore" "Primates" "Chlorocebus_pygerythrus" "X414.Vervet.Monkey"
"52" "X415.White.Rhinoceros" "Mammalia" "Perissodactyla" "Rhinocerotidae" "Ceratotherium" "Ceratotherium_simum" "feces" "wild" "South Africa" -23.231251 30.492554 "terrestrial habitat" "woodland" "forest" "forest" "herbivore" "no" "no" "no" "no" "no" "no" "yes" "no" 41493 "415_White_Rhinoceros" "ERR2860830" "Ceratotherium_simum" "415_White_Rhinoceros" "herbivore" "Perissodactyla" "Ceratotherium_simum" "X415.White.Rhinoceros"
"53" "X416.White.Rhinoceros" "Mammalia" "Perissodactyla" "Rhinocerotidae" "Ceratotherium" "Ceratotherium_simum" "feces" "wild" "South Africa" -23.231251 30.492554 "terrestrial habitat" "woodland" "forest" "forest" "herbivore" "no" "no" "no" "no" "no" "no" "yes" "no" 41485 "416_White_Rhinoceros" "ERR2860854" "Ceratotherium_simum" "416_White_Rhinoceros" "herbivore" "Perissodactyla" "Ceratotherium_simum" "X416.White.Rhinoceros"
"54" "X417.Giraffe" "Mammalia" "Artiodactyla" "Giraffidae" "Giraffa" "Giraffa_camelopardalis" "feces" "wild" "East Africa" 1.230374 38.583984 "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "herbivore" "no" "no" "yes" "yes" "yes" "yes" "no" "no" 41706 "417_Giraffe" "ERR2860891" "Giraffa_camelopardalis" "417_Giraffe" "herbivore" "Cetartiodactyla" "Giraffa_camelopardalis" "X417.Giraffe"
"55" "X418.Giraffe" "Mammalia" "Artiodactyla" "Giraffidae" "Giraffa" "Giraffa_camelopardalis" "feces" "wild" "East Africa" 1.230374 38.583984 "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "herbivore" "no" "no" "yes" "yes" "yes" "yes" "no" "no" 41706 "418_Giraffe" "ERR2860843" "Giraffa_camelopardalis" "418_Giraffe" "herbivore" "Cetartiodactyla" "Giraffa_camelopardalis" "X418.Giraffe"
"58" "X423.Quagga" "Mammalia" "Perissodactyla" "Equidae" "Equus" "Equus_quagga" "feces" "wild" "East Africa" -2.416276 34.650879 "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "herbivore" "no" "no" "no" "no" "no" "yes" "yes" "no" 41695 "423_Quagga" "ERR2860869" "Equus_quagga" "423_Quagga" "herbivore" "Perissodactyla" "Equus_quagga" "X423.Quagga"
"59" "X424.Quagga" "Mammalia" "Perissodactyla" "Equidae" "Equus" "Equus_quagga" "feces" "wild" "East Africa" -2.416276 34.650879 "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "herbivore" "no" "no" "no" "no" "no" "yes" "yes" "no" 41695 "424_Quagga" "ERR2860850" "Equus_quagga" "424_Quagga" "herbivore" "Perissodactyla" "Equus_quagga" "X424.Quagga"
"60" "X428.African.Bush.Elephant" "Mammalia" "Proboscidea" "Elephantidae" "Loxodonta" "Loxodonta_africana" "feces" "captive" "Austria" 48.20833 16.373064 "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "herbivore" "no" "no" "yes" "no" "yes" "no" "yes" "yes" 41432 "428_African_Bush_Elephant" "ERR2860886" "Loxodonta_africana" "428_African_Bush_Elephant" "herbivore" "Proboscidea" "Loxodonta_africana" "X428.African.Bush.Elephant"
"61" "X429.Giraffe" "Mammalia" "Artiodactyla" "Giraffidae" "Giraffa" "Giraffa_camelopardalis" "feces" "captive" "Austria" 48.20833 16.373064 "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "herbivore" "no" "no" "no" "no" "yes" "no" "yes" "no" 41579 "429_Giraffe" "ERR2860811" "Giraffa_camelopardalis" "429_Giraffe" "herbivore" "Cetartiodactyla" "Giraffa_camelopardalis" "X429.Giraffe"
"62" "X430.Giraffe" "Mammalia" "Artiodactyla" "Giraffidae" "Giraffa" "Giraffa_camelopardalis" "feces" "captive" "Austria" 48.20833 16.373064 "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "herbivore" "no" "no" "no" "no" "yes" "no" "yes" "no" 41579 "430_Giraffe" "ERR2860863" "Giraffa_camelopardalis" "430_Giraffe" "herbivore" "Cetartiodactyla" "Giraffa_camelopardalis" "X430.Giraffe"
"63" "X431.Quagga" "Mammalia" "Perissodactyla" "Equidae" "Equus" "Equus_quagga" "feces" "captive" "Austria" 47.224 15.812 "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "herbivore" "no" "no" "no" "no" "no" "yes" "yes" "no" 41623 "431_Quagga" "ERR2860877" "Equus_quagga" "431_Quagga" "herbivore" "Perissodactyla" "Equus_quagga" "X431.Quagga"
"64" "X432.Vervet.Monkey" "Mammalia" "Primates" "Cercopithecidae" "Chlorocebus" "Chlorocebus_pygerythrus" "feces" "captive" "Austria" 47.224 15.812 "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "omnivore" "yes" "yes" "yes" "no" "yes" "no" "no" "no" 41623 "432_Vervet_Monkey" "ERR2860856" "Chlorocebus_pygerythrus" "432_Vervet_Monkey" "omnivore" "Primates" "Chlorocebus_pygerythrus" "X432.Vervet.Monkey"
"65" "X433.Raccoon" "Mammalia" "Carnivora" "Procyonidae" "Procyon" "Procyon_lotor" "feces" "wild" "Austria" 9.96304 -84.04823 "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "omnivore" "yes" "yes" "yes" "no" "yes" "yes" "no" "yes" 41623 "433_Raccoon" "ERR2860867" "Procyon_lotor" "433_Raccoon" "omnivore" "Carnivora" "Procyon_lotor" "X433.Raccoon"
"67" "X77.Onager" "Mammalia" "Perissodactyla" "Equidae" "Equus" "Equus_hemionus" "feces" "wild" "Iran" 29.608056 52.524722 "terrestrial habitat" "grassland" "steppe" "steppe" "herbivore" "no" "no" "no" "no" "yes" "no" "yes" "no" 40753 "77_Onager" "ERR2860858" "Equus_hemionus" "77_Onager" "herbivore" "Perissodactyla" "Equus_hemionus" "X77.Onager"
